"id","budburst","leafout","tx","chill","lo.ht","thick1","thick2","tough1","tough2","budset","shoots","roots","ht.final","chill1","chill2","species","dvr","tough","tough.date","tough.age","bset","budsetdoy","gslength","rgr_final","thick"
"ACESAC_14",38,48,0,1,29.6,0.095,0.132,0.32,0.34,NA,NA,NA,NA,0,0,"ACESAC",10,0.33,176,146.4,NA,NA,NA,NA,0.1135
"ACESAC_24",50,62,1,1,22.6,0.101,0.103,0.28,0.17,NA,NA,NA,NA,0,0,"ACESAC",12,0.225,176,153.4,NA,NA,NA,NA,0.102
"ACESAC_34",36,48,0,1,30.1,0.082,0.094,0.31,0.45,NA,NA,NA,NA,0,0,"ACESAC",12,0.38,176,145.9,NA,NA,NA,NA,0.088
"ACESAC_44",48,59,1,1,22.2,0.088,0.118,0.41,0.24,NA,NA,NA,NA,0,0,"ACESAC",11,0.325,176,153.8,NA,NA,NA,NA,0.103
"ACESAC_54",45,53,0,1,16.4,0.121,0.125,0.37,0.41,2019-09-10,NA,NA,17.9,0,0,"ACESAC",8,0.39,176,159.6,253,253,236.6,0.633981403212172,0.123
"ACESAC_64",53,69,1,1,22.1,0.097,0.105,0.4,0.22,NA,NA,NA,NA,0,0,"ACESAC",16,0.31,176,153.9,NA,NA,NA,NA,0.101
"ACESAC_74",53,69,0,1,22.5,0.11,0.133,0.35,0.34,NA,NA,NA,NA,0,0,"ACESAC",16,0.345,176,153.5,NA,NA,NA,NA,0.1215
"ACESAC_84",38,56,1,1,31.1,0.109,0.119,0.21,0.28,NA,NA,NA,NA,0,0,"ACESAC",18,0.245,176,144.9,NA,NA,NA,NA,0.114
"ACESAC_94",36,53,0,1,30,0.099,0.129,0.42,0.46,NA,NA,NA,NA,0,0,"ACESAC",17,0.44,176,146,NA,NA,NA,NA,0.114
"ACESAC_104",41,59,1,1,25.2,0.101,0.109,0.29,0.28,NA,NA,NA,NA,0,0,"ACESAC",18,0.285,176,150.8,NA,NA,NA,NA,0.105
"ACESAC_114",59,73,0,1,22.6,0.091,0.096,0.39,0.33,2019-07-30,NA,NA,NA,0,0,"ACESAC",14,0.36,176,153.4,211,211,188.4,NA,0.0935
"ACESAC_124",36,53,1,1,27.6,0.096,0.118,0.36,NA,NA,NA,NA,NA,0,0,"ACESAC",17,NA,176,148.4,NA,NA,NA,NA,0.107
"ACESAC_134",43,53,0,1,22.1,0.122,0.143,0.25,NA,NA,NA,NA,NA,0,0,"ACESAC",10,NA,176,153.9,NA,NA,NA,NA,0.1325
"ACESAC_144",38,50,1,1,33.3,0.1,0.083,0.14,0.35,NA,NA,NA,NA,0,0,"ACESAC",12,0.245,176,142.7,NA,NA,NA,NA,0.0915
"ACESAC_154",41,56,0,1,20.2,0.112,0.09,0.27,NA,NA,NA,NA,NA,0,0,"ACESAC",15,NA,176,155.8,NA,NA,NA,NA,0.101
"ACESAC_164",41,59,1,1,36.3,0.098,0.097,0.27,0.28,NA,NA,NA,NA,0,0,"ACESAC",18,0.275,176,139.7,NA,NA,NA,NA,0.0975
"ACESAC_16",40,56,0,2,22.1,0.09,0.082,0.3,0.52,NA,NA,NA,NA,1,0,"ACESAC",16,0.41,177,154.9,NA,NA,NA,NA,0.086
"ACESAC_26",56,67,1,2,27.9,0.114,0.102,0.37,0.37,NA,NA,NA,NA,1,0,"ACESAC",11,0.37,177,149.1,NA,NA,NA,NA,0.108
"ACESAC_36",35,46,0,2,34.3,0.106,0.105,0.42,0.44,NA,NA,NA,NA,1,0,"ACESAC",11,0.43,177,142.7,NA,NA,NA,NA,0.1055
"ACESAC_46",40,53,1,2,30.9,0.114,0.107,0.35,0.35,2019-07-30,NA,NA,33.9,1,0,"ACESAC",13,0.35,177,146.1,211,211,180.1,1.66574125485841,0.1105
"ACESAC_56",43,56,0,2,30.9,0.098,0.08,0.38,0.24,NA,NA,NA,NA,1,0,"ACESAC",13,0.31,177,146.1,NA,NA,NA,NA,0.089
"ACESAC_66",40,51,1,2,21,0.102,0.105,0.51,0.5,NA,NA,NA,NA,1,0,"ACESAC",11,0.505,177,156,NA,NA,NA,NA,0.1035
"ACESAC_76",32,49,0,2,17.8,0.107,0.099,0.31,0.33,NA,NA,NA,NA,1,0,"ACESAC",17,0.32,177,159.2,NA,NA,NA,NA,0.103
"ACESAC_86",49,63,1,2,29.5,0.095,0.092,0.16,0.22,NA,NA,NA,NA,1,0,"ACESAC",14,0.19,177,147.5,NA,NA,NA,NA,0.0935
"ACESAC_96",51,58,0,2,27.4,0.092,0.169,0.32,0.17,NA,NA,NA,NA,1,0,"ACESAC",7,0.245,177,149.6,NA,NA,NA,NA,0.1305
"ACESAC_106",40,49,1,2,24.7,0.107,0.127,0.14,NA,NA,NA,NA,NA,1,0,"ACESAC",9,NA,177,152.3,NA,NA,NA,NA,0.117
"ACESAC_116",40,56,0,2,27.7,0.087,0.096,0.45,0.23,NA,NA,NA,NA,1,0,"ACESAC",16,0.34,177,149.3,NA,NA,NA,NA,0.0915
"ACESAC_126",43,60,1,2,27.7,0.088,0.086,0.36,0.33,NA,NA,NA,NA,1,0,"ACESAC",17,0.345,177,149.3,NA,NA,NA,NA,0.087
"ACESAC_136",63,70,0,2,19.1,0.097,0.103,0.15,0.26,NA,NA,NA,NA,1,0,"ACESAC",7,0.205,177,157.9,NA,NA,NA,NA,0.1
"ACESAC_146",43,56,1,2,35.2,0.096,0.089,0.3,0.28,2019-08-21,NA,NA,32.5,1,0,"ACESAC",13,0.29,177,141.8,233,233,197.8,-1.36501516683519,0.0925
"ACESAC_156",28,43,0,2,30.2,0.093,0.138,0.37,0.58,NA,NA,NA,NA,1,0,"ACESAC",15,0.475,177,146.8,NA,NA,NA,NA,0.1155
"ACESAC_166",32,46,1,2,21.4,0.084,0.085,0.3,0.22,NA,NA,NA,NA,1,0,"ACESAC",14,0.26,177,155.6,NA,NA,NA,NA,0.0845
"ACESAC_18",32,44,0,3,23.7,0.098,0.095,0.39,0.6,NA,NA,NA,NA,0,1,"ACESAC",12,0.495,163,139.3,NA,NA,NA,NA,0.0965
"ACESAC_28",39,49,1,3,29.4,0.098,0.105,0.46,0.34,NA,NA,NA,NA,0,1,"ACESAC",10,0.4,163,133.6,NA,NA,NA,NA,0.1015
"ACESAC_38",29,42,0,3,28.8,0.093,0.125,0.4,0.58,NA,NA,NA,NA,0,1,"ACESAC",13,0.49,163,134.2,NA,NA,NA,NA,0.109
