"id","budburst","leafout","tx","chill","lo.ht","thick1","thick2","tough1","tough2","budset","shoots","roots","ht.final","mg.cm2","phenol","chlavg","ht.diff","meristem","chill1","chill2","species","dvr","tough","thick","tough.date","tough.age","bset","budsetdoy","gslength","rgr_final","folin","species.name","drought","drought1","drought2"
"ACESAC_14",38,48,0,1,29.6,0.095,0.132,0.32,0.34,NA,NA,NA,NA,0.0084,"-0.14","25.675",3.6,0,0,0,"ACESAC",10,0.33,0.1135,176,146.4,NA,NA,NA,NA,0.00529690117423609,"Acer saccharinum",0,0,0
"ACESAC_24",50,62,1,1,22.6,0.101,0.103,0.28,0.17,NA,NA,NA,NA,0.0123,"-0.05","29.575",2.6,1,0,0,"ACESAC",12,0.225,0.102,176,153.4,NA,NA,NA,NA,0.000405949028127051,"Acer saccharinum",2,0,1
"ACESAC_34",36,48,0,1,30.1,0.082,0.094,0.31,0.45,NA,NA,NA,NA,0.0098,"-0.26","27.075",3.4,0,0,0,"ACESAC",12,0.38,0.088,176,145.9,NA,NA,NA,NA,0.0118181707023815,"Acer saccharinum",0,0,0
"ACESAC_44",48,59,1,1,22.2,0.088,0.118,0.41,0.24,NA,NA,NA,NA,0.0118,"-0.23","29.075",0.9,0,0,0,"ACESAC",11,0.325,0.103,176,153.8,NA,NA,NA,NA,0.0101878533203451,"Acer saccharinum",2,0,1
"ACESAC_64",53,69,1,1,22.1,0.097,0.105,0.4,0.22,NA,NA,NA,NA,0.0056,"-0.02","22.675",1.1,1,0,0,"ACESAC",16,0.31,0.101,176,153.9,NA,NA,NA,NA,-0.0012243683539093,"Acer saccharinum",2,0,1
"ACESAC_74",53,69,0,1,22.5,0.11,0.133,0.35,0.34,NA,NA,NA,NA,0.0081,"-0.06","25.3",1.3,0,0,0,"ACESAC",16,0.345,0.1215,176,153.5,NA,NA,NA,NA,0.0009493881554725,"Acer saccharinum",2,0,1
"ACESAC_84",38,56,1,1,31.1,0.109,0.119,0.21,0.28,NA,NA,NA,NA,0.0061,"-0.33","23.175",3,1,0,0,"ACESAC",18,0.245,0.114,176,144.9,NA,NA,NA,NA,0.0156222445937996,"Acer saccharinum",2,0,1
"ACESAC_94",36,53,0,1,30,0.099,0.129,0.42,0.46,NA,NA,NA,NA,0,"0.01","15.35",1.3,0,0,0,"ACESAC",17,0.44,0.114,176,146,NA,NA,NA,NA,-0.00285468573594565,"Acer saccharinum",0,0,0
"ACESAC_104",41,59,1,1,25.2,0.101,0.109,0.29,0.28,NA,NA,NA,NA,0.0117,"-0.26","29",0.2,1,0,0,"ACESAC",18,0.285,0.105,176,150.8,NA,NA,NA,NA,0.0118181707023815,"Acer saccharinum",2,0,1
"ACESAC_124",36,53,1,1,27.6,0.096,0.118,0.36,NA,NA,NA,NA,NA,0.004,"-0.19","20.825",3.1,0,0,0,"ACESAC",17,NA,0.107,176,148.4,NA,NA,NA,NA,0.00801409681096334,"Acer saccharinum",0,0,0
"ACESAC_134",43,53,0,1,22.1,0.122,0.143,0.25,NA,NA,NA,NA,NA,0.0046,"-0.18","21.5",1.3,0,0,0,"ACESAC",10,NA,0.1325,176,153.9,NA,NA,NA,NA,0.00747065768361789,"Acer saccharinum",0,0,0
"ACESAC_144",38,50,1,1,33.3,0.1,0.083,0.14,0.35,NA,NA,NA,NA,0.0051,"-0.07","22.125",1.2,0,0,0,"ACESAC",12,0.245,0.0915,176,142.7,NA,NA,NA,NA,0.00149282728281795,"Acer saccharinum",0,0,0
"ACESAC_154",41,56,0,1,20.2,0.112,0.09,0.27,NA,NA,NA,NA,NA,0.0056,"-0.02","22.6",1.1,0,0,0,"ACESAC",15,NA,0.101,176,155.8,NA,NA,NA,NA,-0.0012243683539093,"Acer saccharinum",2,0,1
"ACESAC_164",41,59,1,1,36.3,0.098,0.097,0.27,0.28,NA,NA,NA,NA,0,"-0.06","19.475",0.5,0,0,0,"ACESAC",18,0.275,0.0975,176,139.7,NA,NA,NA,NA,0.0009493881554725,"Acer saccharinum",2,0,1
"ACESAC_16",40,56,0,2,22.1,0.09,0.082,0.3,0.52,NA,NA,NA,NA,0.0127,"","29.925",3.7,0,1,0,"ACESAC",16,0.41,0.086,177,154.9,NA,NA,NA,NA,NA,"Acer saccharinum",2,0,1
"ACESAC_26",56,67,1,2,27.9,0.114,0.102,0.37,0.37,NA,NA,NA,NA,0.0059,"","23",2.2,0,1,0,"ACESAC",11,0.37,0.108,177,149.1,NA,NA,NA,NA,NA,"Acer saccharinum",0,0,0
"ACESAC_36",35,46,0,2,34.3,0.106,0.105,0.42,0.44,NA,NA,NA,NA,0.0091,"","26.4",2,0,1,0,"ACESAC",11,0.43,0.1055,177,142.7,NA,NA,NA,NA,NA,"Acer saccharinum",2,0,1
"ACESAC_56",43,56,0,2,30.9,0.098,0.08,0.38,0.24,NA,NA,NA,NA,0.0087,"","25.975",2,0,1,0,"ACESAC",13,0.31,0.089,177,146.1,NA,NA,NA,NA,NA,"Acer saccharinum",2,0,1
"ACESAC_66",40,51,1,2,21,0.102,0.105,0.51,0.5,NA,NA,NA,NA,0.0088,"","26.025",3.2,0,1,0,"ACESAC",11,0.505,0.1035,177,156,NA,NA,NA,NA,NA,"Acer saccharinum",2,0,1
"ACESAC_76",32,49,0,2,17.8,0.107,0.099,0.31,0.33,NA,NA,NA,NA,0.0128,"","27.74285714",2.3,0,1,0,"ACESAC",17,0.32,0.103,177,159.2,NA,NA,NA,NA,NA,"Acer saccharinum",2,0,1
"ACESAC_86",49,63,1,2,29.5,0.095,0.092,0.16,0.22,NA,NA,NA,NA,0.0119,"","29.15",0.9,0,1,0,"ACESAC",14,0.19,0.0935,177,147.5,NA,NA,NA,NA,NA,"Acer saccharinum",0,0,0
"ACESAC_96",51,58,0,2,27.4,0.092,0.169,0.32,0.17,NA,NA,NA,NA,0.0075,"","24.725",2.5,0,1,0,"ACESAC",7,0.245,0.1305,177,149.6,NA,NA,NA,NA,NA,"Acer saccharinum",0,0,0
"ACESAC_106",40,49,1,2,24.7,0.107,0.127,0.14,NA,NA,NA,NA,NA,0.0037,"","20.45",1.8,0,1,0,"ACESAC",9,NA,0.117,177,152.3,NA,NA,NA,NA,NA,"Acer saccharinum",2,0,1
"ACESAC_116",40,56,0,2,27.7,0.087,0.096,0.45,0.23,NA,NA,NA,NA,0.0109,"","28.175",1,0,1,0,"ACESAC",16,0.34,0.0915,177,149.3,NA,NA,NA,NA,NA,"Acer saccharinum",2,0,1
"ACESAC_126",43,60,1,2,27.7,0.088,0.086,0.36,0.33,NA,NA,NA,NA,0.0075,"","24.725",2.2,0,1,0,"ACESAC",17,0.345,0.087,177,149.3,NA,NA,NA,NA,NA,"Acer saccharinum",2,0,1
"ACESAC_136",63,70,0,2,19.1,0.097,0.103,0.15,0.26,NA,NA,NA,NA,0.0054,"","22.45",0.1,0,1,0,"ACESAC",7,0.205,0.1,177,157.9,NA,NA,NA,NA,NA,"Acer saccharinum",0,0,0
"ACESAC_156",28,43,0,2,30.2,0.093,0.138,0.37,0.58,NA,NA,NA,NA,0.0042,"","21.05",-0.1,0,1,0,"ACESAC",15,0.475,0.1155,177,146.8,NA,NA,NA,NA,NA,"Acer saccharinum",2,0,1
"ACESAC_166",32,46,1,2,21.4,0.084,0.085,0.3,0.22,NA,NA,NA,NA,0.0039,"","20.7",1.5,0,1,0,"ACESAC",14,0.26,0.0845,177,155.6,NA,NA,NA,NA,NA,"Acer saccharinum",2,0,1
"ACESAC_18",32,44,0,3,23.7,0.098,0.095,0.39,0.6,NA,NA,NA,NA,0.0083,"","25.575",0,0,0,1,"ACESAC",12,0.495,0.0965,163,139.3,NA,NA,NA,NA,NA,"Acer saccharinum",1,1,0
"ACESAC_28",39,49,1,3,29.4,0.098,0.105,0.46,0.34,NA,NA,NA,NA,0.0061,"","23.175",3.6,0,0,1,"ACESAC",10,0.4,0.1015,163,133.6,NA,NA,NA,NA,NA,"Acer saccharinum",1,1,0
"ACESAC_38",29,42,0,3,28.8,0.093,0.125,0.4,0.58,NA,NA,NA,NA,0.0102,"","27.425",2.2,0,0,1,"ACESAC",13,0.49,0.109,163,134.2,NA,NA,NA,NA,NA,"Acer saccharinum",2,0,1
"ACESAC_48",35,49,1,3,16.8,0.09,0.118,0.29,0.34,NA,NA,NA,NA,0.0088,"","26.075",1.9,0,0,1,"ACESAC",14,0.315,0.104,163,146.2,NA,NA,NA,NA,NA,"Acer saccharinum",1,1,0
"ACESAC_58",49,56,0,3,28.8,0.098,0.129,0.2,0.32,NA,NA,NA,NA,0.0151,"","32.225",1.8,0,0,1,"ACESAC",7,0.26,0.1135,163,134.2,NA,NA,NA,NA,NA,"Acer saccharinum",1,1,0
"ACESAC_68",29,44,1,3,34.8,0.101,0.105,0.27,0.34,NA,NA,NA,NA,0.0059,"","22.975",2,0,0,1,"ACESAC",15,0.305,0.103,163,128.2,NA,NA,NA,NA,NA,"Acer saccharinum",2,0,1
