"term","species","estimate","2%","10%","25%","75%","90%","98%"
"(Intercept)",NA,283.952526476893,249.623107070979,263.134140350445,276.948661453588,291.727414009193,302.642130044791,310.984114034953
"tx",NA,-0.319398105248562,-14.9096923465626,-9.60881150930878,-3.87541912011713,3.29655591403739,8.70361068787351,13.2438445604435
"chill1",NA,2.47911053023986,-8.70371870710327,-5.40300901252267,-0.779832720359995,5.63983680900289,10.5961546313383,14.0177682272868
"chill2",NA,-9.66411732813729,-21.3570598239046,-17.9068392821406,-12.9719821943427,-6.35794752219955,-1.55828664872975,2.77890840651344
"tx:chill1",NA,-14.8707833836671,-30.3770830996648,-25.8707946980819,-19.3909492809346,-10.3912299509815,-4.07752097623795,0.582870656475093
"tx:chill2",NA,-8.57101351114282,-26.1091420815899,-20.5181666605766,-13.2189707240712,-3.92930184334023,2.96833114774283,8.55298653577467
"(Intercept)","ACESAC",-10.0849127006787,-38.1970026453563,-29.4113246387448,-18.2687702756948,-2.59701614901172,11.7673883477915,24.618036112311
"(Intercept)","ALNRUG",34.8702922726901,6.79353864579752,15.3336691433635,26.4035129602751,42.6097368370931,56.7606402082008,71.2830686197207
"(Intercept)","BETPAP",8.83632835854389,-18.5220381637158,-10.7544175480463,0.691788624429711,16.2716628738039,30.3809256192293,43.5228181571351
"(Intercept)","BETPOP",33.0971258453267,6.24336678551452,13.9219877877434,24.7807742371831,40.5783498675413,54.7261614491176,67.9562850365068
"(Intercept)","CORRAC",-22.756908411081,-50.1834776706914,-42.5793042891079,-30.9418111210119,-15.1453013817414,-1.52164999257566,10.9653208105908
"(Intercept)","SALPUR",38.5787002406511,10.8863415894762,19.1032987762052,30.0783716006248,45.8707181804929,60.6496814446672,73.9559980252591
"(Intercept)","SORAME",-38.3363034229005,-66.0782834018852,-58.1108690462775,-46.4105803061487,-30.6551901995142,-17.2094869774415,-5.40671104351543
"(Intercept)","VIBDEN",10.4736551483224,-17.4493445952287,-8.429363842193,2.19543499410415,17.8806718532026,32.3166053075321,45.3903501706462
"tx","ACESAC",0.476600266412073,-13.3113777032597,-8.47536623118253,-2.64695979987322,3.49913587207847,9.97743730957019,15.9909058658856
"tx","ALNRUG",3.43223811788174,-10.159233256384,-5.55659367189841,-0.257067654269322,6.8243527959449,14.2804384727818,20.258253204521
"tx","BETPAP",2.80596913699315,-10.4636728247421,-5.47689573298177,-0.598481438610708,5.92233586919586,13.4660742227272,19.9284458581716
"tx","BETPOP",3.93599091328379,-9.8711584405012,-4.75059157605683,-0.0519212221222222,7.44099136933908,15.0847971328604,20.925913009277
"tx","CORRAC",-4.94994352176746,-22.5925967617199,-16.0184855403705,-8.5537516976664,-0.617181320874325,3.60767061964907,8.59049741544849
"tx","SALPUR",5.06870725439459,-8.45280103316273,-3.61099393228716,0.568180136820489,8.73090848917251,16.444356501848,22.9721718193015
