"term","species","estimate","2%","10%","25%","75%","90%","98%"
"(Intercept)",NA,54.0327764282781,19.7730711076467,30.8248763886667,44.9533428059401,63.2179070732674,77.6825994304979,88.9748447367316
"tx",NA,5.06040112709618,-5.38711590796355,-1.89956023471155,2.23953855768912,7.79358884927702,12.1076754366921,15.4140680744093
"chill1",NA,2.92179394489935,-7.38115529543302,-3.78097933862032,0.23326212790393,5.57734842354461,9.54304836369845,12.6794265025704
"chill2",NA,11.0022104454717,1.5149411499161,4.46679283851748,8.3829703091104,13.5917228603282,17.6214030271044,20.8695059845381
"tx:chill1",NA,-8.39525584730916,-23.9562424361053,-18.6305591023906,-12.4656320064591,-4.27159599555374,2.03967192122231,6.8837732121033
"tx:chill2",NA,-11.326722406066,-23.9075068837177,-20.4380660075552,-15.014440483217,-7.63082031904503,-2.35307581126047,1.6161355099606
"(Intercept)","ACESAC",1.28393260807973,-33.7339918982718,-23.0604950064523,-8.27854129210318,10.8510136761,25.0331306947825,36.2796721441198
"(Intercept)","ALNRUG",16.2839966011897,-19.4747728600916,-7.81504102158685,6.98953949436363,25.5771676705804,39.8911416474744,51.1395460441225
"(Intercept)","BETPAP",-17.3302617136505,-52.4922831126171,-41.4339745791588,-26.5769909284065,-7.98109815673517,6.77118650735589,17.3283972285659
"(Intercept)","BETPOP",14.9362034791129,-20.5848751067699,-8.73303417201031,5.57544399701525,24.2578501562206,38.6929693396999,49.9519195314395
"(Intercept)","CORRAC",-36.8899209579669,-73.1203136010539,-60.9863129718204,-46.2077083488201,-27.5078724854989,-12.9830727339765,-2.25864400106385
"(Intercept)","SALPUR",77.744607388821,42.2688217642947,53.4958999621556,68.3305598488695,87.2061624322632,101.6573641338,113.370782544555
"(Intercept)","SORAME",-57.7505001096077,-93.7259359643943,-82.014158785945,-67.2012046563054,-48.1536017312316,-34.1784906594242,-22.41706542893
"(Intercept)","VIBDEN",-1.58066629846439,-36.7579942117598,-25.2340879645248,-10.7221370151647,7.78790442352393,22.1662011068055,32.6838598492154
"tx","ACESAC",-3.07086210050388,-18.1122596993245,-12.6121452237192,-5.61303488390718,0.0806317164351945,3.48510887499644,7.64423739568943
"tx","ALNRUG",5.00816874477077,-4.64249087712746,-1.72168543999033,0.509903866491436,8.29547392490667,16.5771629591619,22.7470352497287
"tx","BETPAP",0.372708646703908,-12.6449377749141,-7.67722192882943,-2.00459066317111,2.81215929605667,8.52197510425807,13.5261150263261
"tx","BETPOP",-0.0497945481841481,-12.5717535179759,-7.49967457195675,-2.27098745165913,2.18441688303339,7.53693888465033,11.9681234146116
"tx","CORRAC",-0.0141579137734123,-13.8929739582097,-8.6321074758127,-2.48153098302942,2.58211173264541,8.10143273191021,12.8794988190512
"tx","SALPUR",-5.43351485064775,-22.800287415903,-16.7500214561954,-9.15539209539947,-0.782605549736798,2.04378069119644,5.04148061713061
"tx","SORAME",1.17198173599108,-11.8092730374628,-6.69807189863872,-1.44373573817687,3.82156501266119,9.74610465700227,14.8206029718911
"tx","VIBDEN",1.77615284355413,-9.54662733785694,-4.99097840711096,-0.773251935296629,4.11553096331492,10.6273582998858,16.1639851521926
"chill1","ACESAC",1.05295564428797,-8.98520345001811,-4.60383905164066,-0.868697210542875,2.70082817988621,8.35965057014633,14.053235841916
