"term","species","estimate","2%","10%","25%","75%","90%","98%"
"(Intercept)",NA,48.8943683366951,27.1859138422612,34.5187105263096,43.2217845287758,54.9208875594232,62.9381240895512,68.9638826664004
"tx",NA,-3.4482647239998,-10.2017608670965,-8.02406218866041,-5.26371808959012,-1.59662435099381,1.20125790116694,2.91341164385366
"chill1",NA,0.379150515048866,-6.44200160893208,-4.29827229752929,-1.53445259945644,2.30181606016247,5.02349282733811,7.40462781021275
"chill2",NA,2.58788405595352,-4.59234175147005,-2.36303729900366,0.614845373196945,4.58267459470773,7.52683522692651,9.72473837433277
"tx:chill1",NA,-0.549210731838656,-9.92086204352019,-7.09453807779911,-3.26012351327635,2.188302908134,5.99316748572029,8.96056051169686
"tx:chill2",NA,3.73906425897118,-5.54491347342085,-2.67215116849297,1.09434884154179,6.38774698124778,10.2671876945521,13.3615775927521
"(Intercept)","ACESAC",4.2646165632474,-16.0843078994225,-9.93508835276407,-1.70336702845775,9.96842008043451,19.0103251815823,26.452217254969
"(Intercept)","ALNRUG",44.0273134357888,23.6578469388916,29.8672654071007,37.8389298368546,49.7961758532129,58.8336710645334,66.5194577564293
"(Intercept)","BETPAP",-13.2580759911877,-33.4673712192449,-27.4493976386225,-19.2925876879275,-7.54761508356178,1.75729906035063,8.97952075046113
"(Intercept)","BETPOP",6.84991120201907,-13.2402594142266,-7.34778384635384,0.984667265320147,12.6219807903157,21.4706583471277,28.7898260718235
"(Intercept)","CORRAC",-3.10950422320384,-23.161936029015,-17.3520527534616,-9.12368015521676,2.66499818287452,11.6658334243449,17.9433557424116
"(Intercept)","SALPUR",36.8258113498135,16.1240881393483,22.6864813502084,30.6406189086369,42.5718742961247,51.7788261684199,58.9886768177087
"(Intercept)","SORAME",-30.3085753621562,-50.5786171301218,-44.5819094361684,-36.2408767936878,-24.5335809762735,-15.6092852752764,-8.67474143323967
"(Intercept)","VIBDEN",-14.31089493592,-34.4400257974213,-28.2041682377894,-20.3399331498156,-8.57892525953766,0.0328627262829556,7.50761282285128
"tx","ACESAC",-0.226406233550321,-6.56073474807515,-3.67587758873445,-0.981665873126769,0.569229082764655,3.001705413548,5.55211219703778
"tx","ALNRUG",0.437194023201278,-5.10211001421997,-2.93256333705159,-0.647229264594134,1.27413215068594,4.64688107941937,7.7584674837906
"tx","BETPAP",0.127761535475888,-5.97193603298787,-3.01760262168178,-0.68681538795523,0.944969625040839,3.48876414067414,6.41845051583867
"tx","BETPOP",0.570437737624078,-4.38648229492026,-2.18457067788794,-0.387149971629065,1.27421093727815,4.50826787449959,7.85218097433984
"tx","CORRAC",-0.4885469168322,-7.60877272496472,-4.26714267939599,-1.2266730215835,0.437974185005234,2.32216308873254,4.5336411480233
"tx","SALPUR",-0.414467484241379,-7.55686378508347,-4.4259430494078,-1.31199161687714,0.595852514575246,2.98760869802841,5.44418492071618
"tx","SORAME",-0.154293720629037,-6.5089282165554,-3.6816559482317,-0.991418668110696,0.707252402812865,3.25238335427276,5.69523334032311
"tx","VIBDEN",0.496081473974343,-4.47991571446443,-2.35162034528963,-0.449071485252079,1.25055463119428,4.25027712817672,7.32621766834185
"chill1","ACESAC",1.47036924568096,-4.3650849829217,-2.08179018324863,-0.200805783452378,2.66217339698689,7.45680806427165,11.4592129096201
