"term","species","estimate","2%","10%","25%","75%","90%","98%"
"(Intercept)",NA,0.376202609726562,0.194473702428515,0.266822167201453,0.335684935230206,0.41822719784587,0.483200565857271,0.536317952412224
"tx",NA,-0.0257658928460819,-0.0698448544840521,-0.0567050526924595,-0.038406626076845,-0.0137692480392076,0.00558016450484125,0.0214010305320515
"chill1",NA,-0.00888648855075028,-0.0486437511085063,-0.0373082464653817,-0.0204143336481549,0.0026839456072924,0.0199321032348821,0.0312712427775373
"chill2",NA,0.0543183629096306,-0.00283209408832491,0.0178130927149406,0.0402417724764358,0.0685506722547931,0.0901379594046491,0.111357954407801
"tx:chill1",NA,-9.19289987954148e-05,-0.0557329299451866,-0.0399251414929537,-0.016950329749842,0.0167485688418258,0.0401770881794886,0.0619754374161263
"tx:chill2",NA,-0.0241597443223962,-0.0906039674349074,-0.0683402576761136,-0.0411386160170498,-0.00662898553056585,0.0195839015197959,0.0427269994124952
"(Intercept)","ACESAC",-0.0339080978519928,-0.199008861619692,-0.143658952689147,-0.0768749216465302,0.00751302351812854,0.0776978318161519,0.153810638835214
"(Intercept)","ALNRUG",-0.0628419991600497,-0.225989404496053,-0.17351556073003,-0.105197788974441,-0.0214997462574478,0.0499744563207378,0.125675858614171
"(Intercept)","BETPAP",-0.123172855866924,-0.289004113643417,-0.234620357040495,-0.165730051109252,-0.0836819855804558,-0.0114170603313477,0.0623699368648828
"(Intercept)","BETPOP",-0.108179186911208,-0.269160927809368,-0.218532306240973,-0.150198128812541,-0.0671681975699835,0.00357374116576363,0.0741687614282613
"(Intercept)","CORRAC",-0.0533246943873132,-0.219100141788727,-0.16507528585829,-0.0955966085625259,-0.0123860038230712,0.0576194651952386,0.130978107891662
"(Intercept)","SALPUR",0.16967787747699,0.00742588011803946,0.0616716157866001,0.126343652856717,0.210564857689366,0.282365536214655,0.358162348615555
"(Intercept)","SORAME",-0.0317336515818204,-0.192908755808108,-0.140483039903695,-0.0745499099825035,0.00857164260602805,0.0808876951642956,0.148221703617139
"(Intercept)","VIBDEN",0.267420715798469,0.105796736663077,0.157712257706344,0.224656797741583,0.307791432032234,0.381526820252735,0.456672534388516
"tx","ACESAC",0.00103830141458218,-0.0501586790027693,-0.0296266063583581,-0.00759031222272718,0.00995674447389174,0.0322744266277305,0.0539780944205182
"tx","ALNRUG",0.00888378811515262,-0.0369766144716975,-0.0182399670846369,-0.00185132722389185,0.017868227464527,0.0468233308061302,0.0710703513101121
"tx","BETPAP",0.00238645043437717,-0.046445168344891,-0.0280784190179756,-0.00594339442524069,0.0115923087973669,0.0328281474592904,0.0509866366239916
"tx","BETPOP",0.00287488804259213,-0.0487927076777815,-0.0256694371456692,-0.00567125758699096,0.0118494564835678,0.0336435539127322,0.0543039223125561
"tx","CORRAC",0.016424614819205,-0.0220631667868301,-0.00859481862610491,0.00074456987413378,0.0274739178998863,0.0598564346001325,0.084583530042841
"tx","SALPUR",-0.0110948591469034,-0.0739680700164001,-0.0481465720072264,-0.0216931222154396,0.000813380137365026,0.0162041373304114,0.034553827059966
"tx","SORAME",-0.00963482267337725,-0.075960734822528,-0.0486322202390423,-0.018802872831465,0.00180415354435288,0.0172845005287405,0.0320847694289021
"tx","VIBDEN",-0.0131232480958262,-0.0777800565769076,-0.0543515009367292,-0.0248705599927214,0.000528473976792558,0.0163510923031138,0.0349240847768187
"chill1","ACESAC",0.000705546568572262,-0.0407335582216734,-0.022343675352269,-0.00473044526567035,0.00612971023367898,0.0254236468485964,0.0439002417564355
"chill1","ALNRUG",0.000200725167321719,-0.0422471285150556,-0.0216921845204824,-0.00516503772487443,0.0054520051641514,0.0231086077372511,0.0411481423879803
"chill1","BETPAP",0.00387663682472461,-0.0309483837481592,-0.0162178437166168,-0.00264725606328884,0.00919304603276244,0.0307491225731484,0.0518102815130622
"chill1","BETPOP",0.00258488137888417,-0.0319530953119991,-0.0188741523055982,-0.00326272614027231,0.00762042141899968,0.0272371578536721,0.0493470022327646
"chill1","CORRAC",-0.00318372348244933,-0.0525107319779907,-0.0295846123535117,-0.00813329045369045,0.00320104140343177,0.0172158307145874,0.0343061617521585
"chill1","SALPUR",-0.00176343017623671,-0.0467254432617634,-0.0279095991965143,-0.00727713867082422,0.00445482786904456,0.0212781283592702,0.0402864885190814
"chill1","SORAME",0.000599767695119683,-0.0397959041449148,-0.0217691460863922,-0.00535867000632898,0.00604208109635529,0.0251203836669184,0.0448172187746341
